index,Year,Calendar Date (YYYYMMDD),WeekNo,Year_Week,$Price,$ Sales Amount,# Sold Unit,# Inventory Unit
0,2015,20150102,1,2015_01,114.14285714285714,68.4286398572113,1,241
1,2015,20150103,1,2015_01,114.14285714285714,85.57151414294272,1,240
2,2015,20150106,2,2015_02,114.14285714285714,171.14302828588544,2,238
3,2015,20150107,2,2015_02,114.14285714285714,85.57151414294272,1,237
4,2015,20150109,2,2015_02,114.14285714285714,114.14297128582842,1,236
5,2015,20150113,3,2015_03,114.14285714285714,85.57151414294272,1,235
6,2015,20150114,3,2015_03,114.14285714285714,85.57151414294272,1,234
8,2015,20150118,4,2015_04,114.14285714285714,199.72162829305685,2,249
9,2015,20150119,4,2015_04,114.14285714285714,199.71448542877116,2,247
10,2015,20150124,4,2015_04,114.14285714285714,114.14297128582842,1,246
11,2015,20150127,5,2015_05,114.14285714285714,114.14297128582842,1,245
12,2015,20150130,5,2015_05,114.14285714285714,85.57151414294272,1,244
13,2015,20150131,5,2015_05,114.14285714285714,256.71454242882817,3,241
14,2015,20150203,6,2015_06,114.14285714285714,68.4286398572113,1,240
15,2015,20150206,6,2015_06,114.14285714285714,381.42895285752434,10,230
16,2015,20150207,6,2015_06,114.14285714285714,456.71474242902815,11,219
17,2015,20150208,7,2015_07,114.14285714285714,303.5717321431607,3,150
18,2015,20150209,7,2015_07,114.14285714285714,248.81453452882025,3,147
19,2015,20150210,7,2015_07,114.14285714285714,100.42867185724329,1,146
20,2015,20150211,7,2015_07,114.14285714285714,85.57151414294272,1,145
21,2015,20150212,7,2015_07,114.14285714285714,176.8573197144626,2,143
23,2015,20150214,7,2015_07,114.14285714285714,214.57164314307173,2,141
24,2015,20150215,8,2015_08,114.14285714285714,91.28580557151986,1,129
25,2015,20150216,8,2015_08,114.14285714285714,154.0572969144398,2,127
26,2015,20150217,8,2015_08,114.14285714285714,180.32875175732318,2,125
27,2015,20150221,8,2015_08,114.14285714285714,79.90007990007989,1,124
28,2015,20150223,9,2015_09,114.14285714285714,114.14297128582842,1,123
29,2015,20150226,9,2015_09,114.14285714285714,114.14297128582842,1,122
30,2015,20150227,9,2015_09,114.14285714285714,308.1860224717368,3,119
31,2015,20150301,10,2015_10,114.14285714285714,114.14297128582842,1,111
32,2015,20150302,10,2015_10,114.14285714285714,114.14297128582842,1,110
33,2015,20150307,10,2015_10,114.14285714285714,85.57151414294272,1,109
34,2015,20150308,11,2015_11,114.14285714285714,85.57151414294272,1,116
35,2015,20150311,11,2015_11,114.14285714285714,228.28594257165685,2,114
36,2015,20150313,11,2015_11,114.14285714285714,182.57161114303972,2,112
37,2015,20150314,11,2015_11,114.14285714285714,370.85751371465653,4,108
38,2015,20150317,12,2015_12,114.14285714285714,85.57151414294272,1,107
